"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Transformation et conservation de la viande de volaille (NAF rév. 2, niveau classe, poste 10.12)";"Codes"
"idBank";"010537238";""
"Période";"";""
"2021-02";"83.47";"A"
"2021-01";"88.34";"A"
"2020-12";"108.08";"A"
"2020-11";"95.88";"A"
"2020-10";"99.09";"A"
"2020-09";"97.67";"A"
"2020-08";"90.57";"A"
"2020-07";"98.18";"A"
"2020-06";"97.57";"A"
"2020-05";"91.14";"A"
"2020-04";"96.38";"A"
"2020-03";"99.09";"A"
"2020-02";"87.45";"A"
"2020-01";"96.89";"A"
"2019-12";"104.65";"A"
"2019-11";"94.12";"A"
"2019-10";"107.51";"A"
"2019-09";"96.57";"A"
"2019-08";"94.76";"A"
"2019-07";"99.64";"A"
"2019-06";"92.55";"A"
"2019-05";"100.63";"A"
"2019-04";"100.3";"A"
"2019-03";"95.0";"A"
"2019-02";"89.66";"A"
"2019-01";"100.87";"A"
"2018-12";"101.52";"A"
"2018-11";"99.49";"A"
"2018-10";"107.2";"A"
"2018-09";"91.85";"A"
"2018-08";"97.08";"A"
"2018-07";"98.83";"A"
"2018-06";"97.75";"A"
"2018-05";"103.52";"A"
"2018-04";"99.52";"A"
"2018-03";"105.8";"A"
"2018-02";"91.24";"A"
"2018-01";"102.33";"A"
"2017-12";"101.62";"A"
"2017-11";"99.18";"A"
"2017-10";"100.96";"A"
"2017-09";"96.76";"A"
"2017-08";"98.3";"A"
"2017-07";"88.92";"A"
"2017-06";"92.11";"A"
"2017-05";"95.62";"A"
"2017-04";"85.95";"A"
"2017-03";"100.73";"A"
"2017-02";"87.66";"A"
"2017-01";"97.31";"A"
"2016-12";"105.53";"A"
"2016-11";"98.68";"A"
"2016-10";"97.79";"A"
"2016-09";"101.18";"A"
"2016-08";"99.45";"A"
"2016-07";"86.3";"A"
"2016-06";"93.48";"A"
"2016-05";"94.7";"A"
"2016-04";"94.5";"A"
"2016-03";"102.36";"A"
"2016-02";"90.3";"A"
"2016-01";"94.43";"A"
"2015-12";"112.24";"A"
"2015-11";"98.65";"A"
"2015-10";"104.3";"A"
"2015-09";"102.58";"A"
"2015-08";"96.79";"A"
"2015-07";"100.69";"A"
"2015-06";"104.48";"A"
"2015-05";"91.95";"A"
"2015-04";"101.72";"A"
"2015-03";"101.9";"A"
"2015-02";"87.86";"A"
"2015-01";"96.85";"A"
"2014-12";"109.59";"A"
"2014-11";"91.7";"A"
"2014-10";"105.24";"A"
"2014-09";"101.03";"A"
"2014-08";"90.98";"A"
"2014-07";"100.67";"A"
"2014-06";"97.74";"A"
"2014-05";"96.83";"A"
"2014-04";"102.08";"A"
"2014-03";"89.88";"A"
"2014-02";"86.83";"A"
"2014-01";"97.23";"A"
"2013-12";"99.72";"A"
"2013-11";"93.39";"A"
"2013-10";"106.34";"A"
"2013-09";"95.0";"A"
"2013-08";"95.92";"A"
"2013-07";"101.41";"A"
"2013-06";"92.79";"A"
"2013-05";"99.06";"A"
"2013-04";"100.27";"A"
"2013-03";"98.29";"A"
"2013-02";"91.71";"A"
"2013-01";"103.83";"A"
"2012-12";"101.92";"A"
"2012-11";"101.25";"A"
"2012-10";"109.19";"A"
"2012-09";"91.84";"A"
"2012-08";"97.26";"A"
"2012-07";"98.61";"A"
"2012-06";"97.68";"A"
"2012-05";"100.19";"A"
"2012-04";"96.32";"A"
"2012-03";"101.4";"A"
"2012-02";"93.97";"A"
"2012-01";"100.54";"A"
"2011-12";"110.3";"A"
"2011-11";"100.93";"A"
"2011-10";"100.11";"A"
"2011-09";"101.82";"A"
"2011-08";"100.81";"A"
"2011-07";"93.14";"A"
"2011-06";"99.08";"A"
"2011-05";"104.67";"A"
"2011-04";"97.06";"A"
"2011-03";"106.63";"A"
"2011-02";"92.18";"A"
"2011-01";"97.19";"A"
"2010-12";"112.45";"A"
"2010-11";"100.8";"A"
"2010-10";"99.4";"A"
"2010-09";"100.29";"A"
"2010-08";"97.7";"A"
"2010-07";"94.67";"A"
"2010-06";"104.17";"A"
"2010-05";"96.26";"A"
"2010-04";"97.93";"A"
"2010-03";"104.51";"A"
"2010-02";"88.89";"A"
"2010-01";"90.27";"A"
"2009-12";"108.3";"A"
"2009-11";"96.98";"A"
"2009-10";"100.11";"A"
"2009-09";"98.21";"A"
"2009-08";"90.4";"A"
"2009-07";"97.48";"A"
"2009-06";"99.01";"A"
"2009-05";"93.48";"A"
"2009-04";"99.38";"A"
"2009-03";"96.35";"A"
"2009-02";"85.9";"A"
"2009-01";"93.74";"A"
"2008-12";"106.55";"A"
"2008-11";"89.46";"A"
"2008-10";"103.42";"A"
"2008-09";"98.93";"A"
"2008-08";"89.14";"A"
"2008-07";"102.27";"A"
"2008-06";"98.76";"A"
"2008-05";"98.27";"A"
"2008-04";"104.73";"A"
"2008-03";"96.16";"A"
"2008-02";"95.45";"A"
"2008-01";"103.89";"A"
"2007-12";"100.11";"A"
"2007-11";"102.74";"A"
"2007-10";"109.97";"A"
"2007-09";"93.51";"A"
"2007-08";"100.12";"A"
"2007-07";"101.44";"A"
"2007-06";"100.88";"A"
"2007-05";"101.18";"A"
"2007-04";"98.39";"A"
"2007-03";"100.22";"A"
"2007-02";"91.67";"A"
"2007-01";"102.91";"A"
"2006-12";"98.81";"A"
"2006-11";"101.83";"A"
"2006-10";"104.56";"A"
"2006-09";"99.41";"A"
"2006-08";"98.84";"A"
"2006-07";"87.56";"A"
"2006-06";"92.92";"A"
"2006-05";"93.02";"A"
"2006-04";"84.14";"A"
"2006-03";"104.09";"A"
"2006-02";"92.35";"A"
"2006-01";"100.89";"A"
"2005-12";"109.18";"A"
"2005-11";"107.45";"A"
"2005-10";"102.27";"A"
"2005-09";"104.99";"A"
"2005-08";"105.96";"A"
"2005-07";"95.62";"A"
"2005-06";"109.53";"A"
"2005-05";"110.87";"A"
"2005-04";"106.68";"A"
"2005-03";"113.13";"A"
"2005-02";"95.81";"A"
"2005-01";"102.12";"A"
"2004-12";"111.69";"A"
"2004-11";"104.89";"A"
"2004-10";"103.97";"A"
"2004-09";"106.76";"A"
"2004-08";"102.09";"A"
"2004-07";"101.27";"A"
"2004-06";"115.53";"A"
"2004-05";"100.71";"A"
"2004-04";"108.85";"A"
"2004-03";"119.71";"A"
"2004-02";"99.26";"A"
"2004-01";"107.72";"A"
"2003-12";"117.92";"A"
"2003-11";"103.48";"A"
"2003-10";"116.8";"A"
"2003-09";"111.06";"A"
"2003-08";"95.2";"A"
"2003-07";"109.42";"A"
"2003-06";"107.01";"A"
"2003-05";"108.56";"A"
"2003-04";"115.24";"A"
"2003-03";"109.18";"A"
"2003-02";"102.55";"A"
"2003-01";"112.33";"A"
"2002-12";"114.62";"A"
"2002-11";"106.6";"A"
"2002-10";"121.03";"A"
"2002-09";"110.16";"A"
"2002-08";"104.91";"A"
"2002-07";"117.57";"A"
"2002-06";"107.35";"A"
"2002-05";"117.81";"A"
"2002-04";"119.5";"A"
"2002-03";"118.79";"A"
"2002-02";"106.45";"A"
"2002-01";"121.62";"A"
"2001-12";"116.1";"A"
"2001-11";"122.86";"A"
"2001-10";"133.15";"A"
"2001-09";"113.11";"A"
"2001-08";"116.85";"A"
"2001-07";"119.55";"A"
"2001-06";"120.32";"A"
"2001-05";"126.7";"A"
"2001-04";"119.44";"A"
"2001-03";"122.35";"A"
"2001-02";"108.31";"A"
"2001-01";"121.48";"A"
"2000-12";"114.47";"A"
"2000-11";"124.25";"A"
"2000-10";"125.93";"A"
"2000-09";"117.12";"A"
"2000-08";"113.97";"A"
"2000-07";"110.27";"A"
"2000-06";"115.43";"A"
"2000-05";"125.46";"A"
"2000-04";"107.63";"A"
"2000-03";"122.27";"A"
"2000-02";"106.98";"A"
"2000-01";"108.32";"A"
"1999-12";"118.39";"A"
"1999-11";"110.92";"A"
"1999-10";"115.23";"A"
"1999-09";"114.0";"A"
"1999-08";"104.27";"A"
"1999-07";"106.6";"A"
"1999-06";"123.32";"A"
"1999-05";"113.38";"A"
"1999-04";"116.86";"A"
"1999-03";"130.05";"A"
"1999-02";"106.08";"A"
"1999-01";"110.28";"A"
"1998-12";"126.47";"A"
"1998-11";"117.15";"A"
"1998-10";"124.67";"A"
"1998-09";"123.88";"A"
"1998-08";"109.02";"A"
"1998-07";"119.43";"A"
"1998-06";"123.64";"A"
"1998-05";"114.75";"A"
"1998-04";"125.99";"A"
"1998-03";"124.33";"A"
"1998-02";"107.84";"A"
"1998-01";"114.57";"A"
"1997-12";"133.52";"A"
"1997-11";"107.45";"A"
"1997-10";"123.9";"A"
"1997-09";"119.38";"A"
"1997-08";"100.72";"A"
"1997-07";"116.85";"A"
"1997-06";"114.17";"A"
"1997-05";"115.28";"A"
"1997-04";"125.77";"A"
"1997-03";"113.13";"A"
"1997-02";"105.69";"A"
"1997-01";"119.7";"A"
"1996-12";"123.86";"A"
"1996-11";"113.54";"A"
"1996-10";"126.01";"A"
"1996-09";"112.82";"A"
"1996-08";"107.4";"A"
"1996-07";"116.39";"A"
"1996-06";"104.98";"A"
"1996-05";"115.38";"A"
"1996-04";"117.17";"A"
"1996-03";"109.21";"A"
"1996-02";"100.9";"A"
"1996-01";"111.66";"A"
"1995-12";"108.0";"A"
"1995-11";"110.69";"A"
"1995-10";"111.37";"A"
"1995-09";"105.96";"A"
"1995-08";"102.12";"A"
"1995-07";"95.85";"A"
"1995-06";"116.07";"A"
"1995-05";"114.66";"A"
"1995-04";"102.37";"A"
"1995-03";"118.75";"A"
"1995-02";"97.86";"A"
"1995-01";"105.74";"A"
"1994-12";"106.03";"A"
"1994-11";"102.06";"A"
"1994-10";"97.83";"A"
"1994-09";"103.46";"A"
"1994-08";"94.83";"A"
"1994-07";"91.54";"A"
"1994-06";"107.66";"A"
"1994-05";"100.55";"A"
"1994-04";"95.98";"A"
"1994-03";"101.94";"A"
"1994-02";"87.46";"A"
"1994-01";"92.77";"A"
"1993-12";"102.94";"A"
"1993-11";"95.35";"A"
"1993-10";"99.04";"A"
"1993-09";"106.32";"A"
"1993-08";"86.8";"A"
"1993-07";"88.91";"A"
"1993-06";"103.36";"A"
"1993-05";"87.07";"A"
"1993-04";"95.01";"A"
"1993-03";"95.46";"A"
"1993-02";"88.79";"A"
"1993-01";"85.88";"A"
"1992-12";"96.11";"A"
"1992-11";"90.47";"A"
"1992-10";"95.67";"A"
"1992-09";"98.41";"A"
"1992-08";"83.84";"A"
"1992-07";"91.74";"A"
"1992-06";"96.61";"A"
"1992-05";"86.46";"A"
"1992-04";"94.86";"A"
"1992-03";"92.08";"A"
"1992-02";"78.87";"A"
"1992-01";"90.9";"A"
"1991-12";"96.77";"A"
"1991-11";"91.44";"A"
"1991-10";"97.45";"A"
"1991-09";"86.09";"A"
"1991-08";"77.23";"A"
"1991-07";"84.39";"A"
"1991-06";"84.62";"A"
"1991-05";"88.13";"A"
"1991-04";"90.11";"A"
"1991-03";"88.87";"A"
"1991-02";"77.04";"A"
"1991-01";"91.84";"A"
"1990-12";"83.69";"A"
"1990-11";"81.77";"A"
"1990-10";"86.15";"A"
"1990-09";"77.73";"A"
"1990-08";"79.0";"A"
"1990-07";"76.51";"A"
"1990-06";"81.98";"A"
"1990-05";"85.94";"A"
"1990-04";"78.6";"A"
"1990-03";"83.72";"A"
"1990-02";"72.5";"A"
"1990-01";"82.79";"A"
